true,N,fr,pred,correct,d_cvll
step,20,10.0,step,1,0.8643532798248259
step,20,10.0,ramp,0,-0.4769215955705022
step,20,10.0,ramp,0,-0.56046796744738
step,20,10.0,ramp,0,-0.1712401652551705
step,20,10.0,step,1,0.3710225216800609
step,20,10.0,step,1,1.2417801645297004
step,20,10.0,ramp,0,-0.41688236910854926
step,20,10.0,ramp,0,-0.23131587912621399
step,20,10.0,ramp,0,-0.1095436308472415
step,20,10.0,step,1,0.19900165688324023
step,20,10.0,step,1,0.9881330707728608
step,20,10.0,step,1,0.5270046799360841
step,20,10.0,ramp,0,-1.036014963963794
step,20,10.0,ramp,0,-0.8759252399956097
step,20,10.0,step,1,0.2221544623544105
step,20,10.0,ramp,0,-0.5125475530261667
step,20,10.0,ramp,0,-0.7049701827210981
step,20,10.0,ramp,0,-0.27447030550166573
step,20,10.0,step,1,18.06521653240364
step,20,10.0,ramp,0,-0.37689992759160873
step,20,10.0,step,1,0.12571661926759248
step,20,10.0,step,1,0.5299563505215303
step,20,10.0,step,1,1.470102331108592
step,20,10.0,step,1,0.37539535405107927
step,20,10.0,ramp,0,-0.6849380453483604
step,20,10.0,step,1,4.037763304625315
step,20,10.0,step,1,0.1193777304711432
step,20,10.0,ramp,0,-0.48115193260341016
step,20,10.0,step,1,0.5121113584118007
step,20,10.0,step,1,1.6607724682109506
step,20,10.0,step,1,0.12223084721178168
step,20,10.0,step,1,0.010039163449306443
step,20,10.0,step,1,0.9305582309277156
step,20,10.0,ramp,0,-0.2408249497915449
step,20,10.0,step,1,0.07792306582413744
step,20,10.0,ramp,0,-1.4406975139716849
step,20,10.0,step,1,5.1230545087088615
step,20,10.0,ramp,0,-1.0077097134368955
step,20,10.0,step,1,0.879948420558236
step,20,10.0,step,1,3.2306479242921142
step,20,10.0,step,1,0.5565382630375098
step,20,10.0,step,1,3.226025244771364
step,20,10.0,step,1,1.076283006459846
step,20,10.0,ramp,0,-0.30734643201594736
step,20,10.0,ramp,0,-0.08414766744147073
step,20,10.0,step,1,3.2304530708224775
step,20,10.0,ramp,0,-0.5142945100782867
step,20,10.0,ramp,0,-0.31118944230372847
step,20,10.0,ramp,0,-0.012569037296941588
step,20,10.0,step,1,1.1513532107954916
step,20,10.0,step,1,0.14441503177187087
step,20,10.0,ramp,0,-1.00405662749489
step,20,10.0,step,1,0.14057447005242807
step,20,10.0,ramp,0,-1.1302060552739874
step,20,10.0,step,1,0.8156484068576333
step,20,10.0,ramp,0,-1.3222808762933767
step,20,10.0,ramp,0,-0.6928394864120833
step,20,10.0,step,1,0.5555987115177743
step,20,10.0,step,1,0.01300336358647769
step,20,10.0,step,1,0.7509559223714604
step,20,20.0,step,1,3.6479071167823918
step,20,20.0,step,1,4.8389579239335205
step,20,20.0,step,1,5.341204481365764
step,20,20.0,ramp,0,-0.30973744862478725
step,20,20.0,ramp,0,-0.04448780452148071
step,20,20.0,step,1,0.7873630875399158
step,20,20.0,step,1,1.0080420565939505
step,20,20.0,step,1,2.010155989304536
step,20,20.0,step,1,0.1900380469476488
step,20,20.0,ramp,0,-3.614230766496064
step,20,20.0,ramp,0,-0.26578342743661665
step,20,20.0,step,1,1.7707865322224734
step,20,20.0,step,1,0.6588053416672892
step,20,20.0,step,1,0.02380070265434142
step,20,20.0,step,1,2.7102374444147017
step,20,20.0,ramp,0,-1.3697205435647675
step,20,20.0,step,1,2.4035464697550424
step,20,20.0,step,1,0.613128895872876
step,20,20.0,ramp,0,-0.7815477863444471
step,20,20.0,ramp,0,-1.287126082088605
step,20,20.0,ramp,0,-0.5821223073960198
step,20,20.0,step,1,1.4144627999064028
step,20,20.0,step,1,1.4451227171470293
step,20,20.0,step,1,0.4429854413048133
step,20,20.0,step,1,1.0119487363467954
step,20,20.0,ramp,0,-0.2583923202783751
step,20,20.0,step,1,3.4339448530271284
step,20,20.0,step,1,1.3054032777071427
step,20,20.0,step,1,0.08771001813354928
step,20,20.0,ramp,0,-0.20833523193007863
step,20,20.0,ramp,0,-1.0857243632649158
step,20,20.0,step,1,2.9372154923155733
step,20,20.0,step,1,0.8623642712311153
step,20,20.0,step,1,1.0787280328975157
step,20,20.0,step,1,0.3822351853101509
step,20,20.0,step,1,2.2886524667225103
step,20,20.0,ramp,0,-4.220538723055398
step,20,20.0,ramp,0,-0.4272873427175057
step,20,20.0,step,1,0.1277027028087332
step,20,20.0,ramp,0,-0.5379928501365043
step,20,20.0,step,1,1.4119332401978397
step,20,20.0,ramp,0,-2.43784127858234
step,20,20.0,step,1,0.06904267819189158
step,20,20.0,step,1,1.056490646447827
step,20,20.0,ramp,0,-0.15547062062907457
step,20,20.0,step,1,4.008333141824522
step,20,20.0,step,1,3.700836947975006
step,20,20.0,step,1,0.74738646780105
step,20,20.0,ramp,0,-0.6363289474668079
step,20,20.0,ramp,0,-0.21187963212622662
step,20,20.0,ramp,0,-0.5930037143194795
step,20,20.0,step,1,0.8970144864490806
step,20,20.0,step,1,0.9440778076001948
step,20,20.0,ramp,0,-0.9238202958420629
step,20,20.0,ramp,0,-1.879169385875258
step,20,20.0,step,1,0.6544282241113137
step,20,20.0,ramp,0,-0.27775738026878116
step,20,20.0,step,1,2.8472581084260185
step,20,20.0,step,1,1.241612383600227
step,20,20.0,ramp,0,-0.2126338495522191
step,20,40.0,step,1,2.365423278150786
step,20,40.0,step,1,0.9315693173697923
step,20,40.0,ramp,0,-1.5558492334504308
step,20,40.0,step,1,4.691512474979788
step,20,40.0,ramp,0,-0.9901561700866637
step,20,40.0,step,1,0.6562164428522692
step,20,40.0,step,1,0.5639141710013291
step,20,40.0,step,1,2.9750802309727646
step,20,40.0,step,1,1.45760402560785
step,20,40.0,ramp,0,-0.6163862990115376
step,20,40.0,ramp,0,-0.8188193059065725
step,20,40.0,ramp,0,-0.885738212753381
step,20,40.0,ramp,0,-0.583579727801748
step,20,40.0,step,1,0.2694561963912463
step,20,40.0,step,1,2.3135882021389875
step,20,40.0,step,1,3.1434885514545385
step,20,40.0,ramp,0,-1.832127788367302
step,20,40.0,step,1,0.2892890958254384
step,20,40.0,step,1,1.0215489930045578
step,20,40.0,step,1,0.5434640094293286
step,20,40.0,step,1,0.30043535169733104
step,20,40.0,ramp,0,-1.2255972319839543
step,20,40.0,step,1,2.1566111704009927
step,20,40.0,ramp,0,-0.0030571891983868227
step,20,40.0,step,1,2.0876220333788638
step,20,40.0,step,1,8.459547377029878
step,20,40.0,step,1,2.651271304552324
step,20,40.0,step,1,1.5348647935284703
step,20,40.0,ramp,0,-1.3239638540350143
step,20,40.0,step,1,2.247499916569552
step,20,40.0,step,1,1.0432512582601703
step,20,40.0,step,1,1.234974202336275
step,20,40.0,ramp,0,-0.24224426823775502
step,20,40.0,step,1,2.181199138528825
step,20,40.0,step,1,0.15081520965941309
step,20,40.0,ramp,0,-0.06504608438103787
step,20,40.0,step,1,1.0170161447634882
