cell,auc_before,auc_after,n
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:210,0.17206477732793524,0.1882591093117409,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:224,0.5101214574898785,0.4757085020242915,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:249,0.5445344129554656,0.534412955465587,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:274,0.631578947368421,0.5870445344129556,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:278,0.5910931174089069,0.5910931174089069,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:280,0.4412955465587044,0.41902834008097173,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:293,0.4878542510121458,0.5647773279352226,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:298,0.23481781376518218,0.2651821862348178,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:300,0.5718623481781376,0.5526315789473684,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:314,0.5668016194331984,0.5809716599190283,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:317,0.5506072874493927,0.5384615384615384,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:322,0.42914979757085026,0.4878542510121458,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:326,0.18825910931174095,0.20242914979757087,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:338,0.4736842105263158,0.5242914979757085,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:339,0.319838056680162,0.29554655870445345,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:341,0.5182186234817814,0.5850202429149798,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:355,0.2348178137651822,0.2935222672064778,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:358,0.4433198380566802,0.46963562753036436,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:372,0.40283400809716596,0.417004048582996,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:56,0.38056680161943324,0.354251012145749,45
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:1254,0.3789473684210527,0.38245614035087716,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:596,0.5307017543859649,0.5368421052631578,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:753,0.5293859649122807,0.5482456140350876,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:757,0.4333333333333333,0.393859649122807,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:768,0.3307017543859649,0.3350877192982456,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:773,0.5421052631578948,0.55,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:779,0.6631578947368421,0.6736842105263158,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:789,0.4017543859649123,0.3298245614035087,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:796,0.4842105263157894,0.5052631578947369,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:803,0.6478070175438596,0.6517543859649123,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:805,0.6807017543859649,0.687719298245614,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:817,0.6719298245614035,0.6456140350877193,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:822,0.33771929824561403,0.3526315789473684,68
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:254,0.2663043478260869,0.3629658385093168,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:270,0.26669254658385094,0.36762422360248453,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:271,0.33850931677018636,0.40877329192546585,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:277,0.38858695652173914,0.5244565217391304,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:284,0.5143633540372671,0.5454192546583851,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:335,0.36704192546583847,0.4681677018633541,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:354,0.36568322981366463,0.45885093167701857,102
