cell,auc_before,auc_after,n
c736dc60-0726-410d-8419-cb6ea025d5b1:974,0.43633518281405603,0.4147104851330204,170
c893c0a3-5597-49cf-baa1-60efdfdef542:1004,0.18518518518518517,0.2222222222222222,18
c893c0a3-5597-49cf-baa1-60efdfdef542:1007,0.6790123456790124,0.691358024691358,18
c893c0a3-5597-49cf-baa1-60efdfdef542:1011,0.3580246913580247,0.35802469135802467,18
c893c0a3-5597-49cf-baa1-60efdfdef542:1017,0.28395061728395066,0.3580246913580247,18
c893c0a3-5597-49cf-baa1-60efdfdef542:1037,0.5432098765432098,0.4938271604938272,18
c893c0a3-5597-49cf-baa1-60efdfdef542:1038,0.3703703703703704,0.4197530864197531,18
c893c0a3-5597-49cf-baa1-60efdfdef542:1053,0.19753086419753088,0.1851851851851852,18
c893c0a3-5597-49cf-baa1-60efdfdef542:1057,0.32098765432098764,0.2962962962962963,18
c893c0a3-5597-49cf-baa1-60efdfdef542:1066,0.6790123456790124,0.6790123456790124,18
c893c0a3-5597-49cf-baa1-60efdfdef542:982,0.16049382716049385,0.14814814814814814,18
c893c0a3-5597-49cf-baa1-60efdfdef542:989,0.7654320987654321,0.7530864197530864,18
c893c0a3-5597-49cf-baa1-60efdfdef542:995,0.48148148148148145,0.5061728395061729,18
c893c0a3-5597-49cf-baa1-60efdfdef542:997,0.1111111111111111,0.13580246913580246,18
