cell,region,fr_window,n,auc_move_none,p_move_none,auc_move_linear,p_move_linear,auc_move_expanded,p_move_expanded,auc_move_pca_expanded,p_move_pca_expanded,dataset
c736dc60-0726-410d-8419-cb6ea025d5b1:859,MRN,23.857326405712776,170,0.45340731256224215,0.28335832083958024,0.4650732678901693,0.4382808595702149,0.49139280125195617,0.8515742128935532,0.44928154787309715,0.2653673163418291,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:860,MRN,42.46522182492834,170,0.38412291933418696,0.01249375312343828,0.40475174277991177,0.030484757621189407,0.44302176696542894,0.2178910544727636,0.3932280551998862,0.012993503248375811,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:862,MRN,68.32560193578196,170,0.628254374733248,0.0079960019990005,0.6151657419263054,0.01249375312343828,0.6020771091193626,0.025487256371814093,0.6306729264475743,0.0024987506246876563,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:869,MRN,21.83239738084397,170,0.4830701379997155,0.7091454272863568,0.4650732678901693,0.4367816091954023,0.4983639208991322,0.974512743628186,0.4691990325793143,0.47926036981509246,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:877,MRN,23.429806028973392,170,0.5191350120927586,0.6741629185407296,0.494949494949495,0.9155422288855573,0.4656423388817755,0.42628685657171417,0.5197040830843648,0.665167416291854,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:881,MRN,12.76832869198094,170,0.5048371034286527,0.9110444777611194,0.49167733674775926,0.8595702148925537,0.46493100014226774,0.447776111944028,0.4980793854033291,0.9740129935032483,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:885,MRN,10.495489523773385,170,0.5020628823445725,0.9575212393803099,0.5016360791008678,0.9785107446276862,0.4808649879072414,0.6751624187906047,0.5050505050505051,0.9030484757621189,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:903,MRN,22.369037976611303,170,0.42367335325081806,0.08745627186406797,0.4050362782757149,0.04147926036981509,0.4538341158059468,0.3168415792103948,0.4238156209987196,0.08895552223888056,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:904,MRN,19.799439184045223,170,0.4962299046806089,0.9270364817591205,0.4777350974534073,0.6271864067966016,0.45767534499928864,0.34832583708145926,0.4911082657561531,0.8675662168915542,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:906,MRN,45.20273107408073,170,0.42481149523403045,0.09345327336331834,0.4127187366623986,0.06446776611694154,0.41812491108265754,0.06746626686656672,0.40816616872954903,0.033483258370814596,IBL
